Date,Open,High,Low,Close,Adj Close,Volume
2020-03-19,18.670000,21.620001,17.850000,21.010000,21.010000,42253700
2020-03-20,22.750000,23.299999,20.952000,22.230000,22.230000,19419500
2020-03-23,22.830000,24.980000,21.870001,24.750000,24.750000,18564100
2020-03-24,26.100000,27.325001,25.230000,25.950001,25.950001,18741800
2020-03-25,26.000000,27.740000,25.379999,25.879999,25.879999,14644100
2020-03-26,27.500000,29.969999,27.110001,28.480000,28.480000,25945700
2020-03-27,27.750000,29.540001,26.320000,28.580000,28.580000,17938500
2020-03-30,29.090000,29.709999,27.850000,28.209999,28.209999,12831200
2020-03-31,28.360001,28.440001,26.520000,26.840000,26.840000,11559500
2020-04-01,26.150000,27.370001,25.582001,25.750000,25.750000,8348000
2020-04-02,25.480000,26.250000,23.559999,24.260000,24.260000,11099800
2020-04-03,24.750000,24.860001,23.809999,24.260000,24.260000,6540400
2020-04-06,22.780001,25.480000,22.600000,24.309999,24.309999,13454700
2020-04-07,24.330000,24.700001,22.920000,23.480000,23.480000,21658200
2020-04-08,23.900000,25.080000,23.370001,24.900000,24.900000,10145100
2020-04-09,24.790001,25.850000,24.260000,24.700001,24.700001,9968900
2020-04-13,24.070000,24.990000,23.355000,24.959999,24.959999,10783800
2020-04-14,26.000000,26.450001,25.260000,25.320000,25.320000,10432600
2020-04-15,25.170000,28.090000,24.580000,28.030001,28.030001,18216500
2020-04-16,27.760000,30.000000,27.389999,29.379999,29.379999,32865900
2020-04-17,28.400000,28.969999,27.059999,28.100000,28.100000,16279700
2020-04-20,28.660000,30.200001,28.360001,29.250000,29.250000,23160600
2020-04-21,29.500000,30.100000,25.930000,26.459999,26.459999,20504500
2020-04-22,27.170000,27.200001,26.120001,26.160000,26.160000,9641700
2020-04-23,26.330000,27.490000,26.020000,26.530001,26.530001,14308600
2020-04-24,27.000000,27.180000,25.620001,26.059999,26.059999,10941100
2020-04-27,26.379999,27.870001,26.379999,27.309999,27.309999,12846500
2020-04-28,28.500000,28.500000,26.150000,26.879999,26.879999,13150300
2020-04-29,26.299999,27.330000,25.020000,27.070000,27.070000,12889700
2020-04-30,27.020000,27.629999,26.260000,26.690001,26.690001,10594200
2020-05-01,26.180000,26.879999,25.320000,26.379999,26.379999,8070400
2020-05-04,26.549999,27.450001,26.160000,27.200001,27.200001,6978300
2020-05-05,27.650000,27.879999,26.830000,27.290001,27.290001,6912300
2020-05-06,27.500000,28.190001,27.330000,27.629999,27.629999,6964100
2020-05-07,28.000000,30.070000,27.900000,29.950001,29.950001,20940900
2020-05-08,30.940001,31.690001,30.180000,31.160000,31.160000,24725800
2020-05-11,31.040001,31.920000,30.059999,31.260000,31.260000,19915700
2020-05-12,31.799999,32.150002,30.389999,31.010000,31.010000,16481000
2020-05-13,31.270000,31.961000,29.200001,30.200001,30.200001,20129000
